Name,Vector1,Vector2,Row,Column,F,Well,Compound,Concentration
r01c01f01p01-sk1fk1fl1.tiff,-0.08300801,0.17803685,A,01,01,A01,Berberine Chloride,50
r01c01f02p01-sk1fk1fl1.tiff,-0.20108971,-1.5758456,A,01,02,A01,Berberine Chloride,50
r01c01f03p01-sk1fk1fl1.tiff,0.12124498,-0.17274804,A,01,03,A01,Berberine Chloride,50
r01c01f04p01-sk1fk1fl1.tiff,-0.36637396,-1.0738047,A,01,04,A01,Berberine Chloride,50
r01c01f05p01-sk1fk1fl1.tiff,-0.25533575,-0.2963899,A,01,05,A01,Berberine Chloride,50
r01c01f06p01-sk1fk1fl1.tiff,-0.7926467,-1.7435292,A,01,06,A01,Berberine Chloride,50
r01c01f07p01-sk1fk1fl1.tiff,-0.516481,-0.77462125,A,01,07,A01,Berberine Chloride,50
r01c01f08p01-sk1fk1fl1.tiff,-0.93239915,-1.4478539,A,01,08,A01,Berberine Chloride,50
r01c01f09p01-sk1fk1fl1.tiff,-0.8644447,-3.8859587,A,01,09,A01,Berberine Chloride,50
r01c02f01p01-sk1fk1fl1.tiff,0.15076402,-1.8951608,A,02,01,A02,Berberine Chloride,25
r01c02f02p01-sk1fk1fl1.tiff,-0.6488369,-0.32785383,A,02,02,A02,Berberine Chloride,25
r01c02f03p01-sk1fk1fl1.tiff,0.26377898,-0.15705846,A,02,03,A02,Berberine Chloride,25
r01c02f04p01-sk1fk1fl1.tiff,-0.11908996,-0.46475786,A,02,04,A02,Berberine Chloride,25
r01c02f05p01-sk1fk1fl1.tiff,0.2305929,-2.4818149,A,02,05,A02,Berberine Chloride,25
r01c02f06p01-sk1fk1fl1.tiff,0.49818525,0.5079667,A,02,06,A02,Berberine Chloride,25
r01c02f07p01-sk1fk1fl1.tiff,-1.1022514,-0.7014847,A,02,07,A02,Berberine Chloride,25
r01c02f08p01-sk1fk1fl1.tiff,0.3179203,-2.102337,A,02,08,A02,Berberine Chloride,25
